State,Dataset,URL,exist,exist comments,digital,digital comments,public,public comments,free,free comments,online,online comments,machine-readable,machine-readable comments,bulk,bulk comments,license,license comments,up-to-date,up-to-date comments,in repo,in repo comments,verifiable,verifiable comments,complete,complete comments,comments
Arizona,Companies,http://www.azcc.gov/Divisions/Corporations/faq.asp#computer5,1,,1,,1,,0,"HTML version is free. Actual data costs $1,000. http://www.azcc.gov/Divisions/Corporations/faq.asp#computer5",1,,1,"Only machine-readable if you pay $1,000. http://www.azcc.gov/Divisions/Corporations/faq.asp#computer5",1,"Bulk data exists, but it costs $1,000. http://www.azcc.gov/Divisions/Corporations/faq.asp#computer5",0,"No license is provided, but there’s not copyright statement in the footer.",1,,0,AZ has no repo.,0,,0,,
Arizona,Incarceration,https://corrections.az.gov/reports-documents/statistics,,,,,,,,,,,,,,,,,,,0,AZ has no repo.,0,,,,
Arizona,State-Owned Real Estate,no,0,,,,,,,,,,,,,,,,,,0,AZ has no repo.,0,,,,
Arizona,Checkbook,http://www.azcheckbook.com/,1,,1,,1,,1,,1,,0,,0,,0,Copyright statement in footer.,1,,0,AZ has no repo.,0,,0,,
Arizona,Address Points,no,0,,,,,,,,,,,,,,,,,,0,AZ has no repo.,0,,,,
Arizona,Legislative Data,,1,,1,,1,,1,,1,,0,,0,,0,Copyright statement in footer.,1,,0,AZ has no repo.,0,,1,,
Arizona,Restaurant Inspections,no,0,,,,,,,,,,,,,,,,,,0,AZ has no repo.,0,,,,
Arizona,Population Projections,https://population.az.gov/,1,,1,,1,,1,,1,,1,Excel files.,1,,0,,1,,0,AZ has no repo.,0,,0,No GNIS IDs.,
Arizona,Vehicle Crashes,http://azdot.gov/mvd/Statistics/arizona-motor-vehicle-crash-facts,1,,1,,1,,1,,1,,0,,0,,0,Copyright statement in footer.,1,,0,AZ has no repo.,0,,0,"These are statistics, not data.",
California,Companies,http://kepler.sos.ca.gov/,1,,1,,1,,1,,1,,0,,0,,0,Copyright statement in footer.,1,,1,,0,,0,Doesn’t list shares or officers.,
California,Incarceration,http://www.cdcr.ca.gov/Reports_Research/Offender_Information_Services_Branch/Offender_Information_Reports.html,,,,,,,,,,,,,,,0,Copyright statement in footer.,1,Last updated 32 days ago.,0,,0,,1,,
California,State-Owned Real Estate,http://www.spi.dgs.ca.gov/wscripts/spi.asp?action=Main,1,,1,,1,,1,,1,,0,,0,,,,,,,,,,,,
California,Checkbook,no,0,,,,,,,,,,,,,,,,,,,,,,,,
California,Address Points,no,0,,,,,,,,,,,,,,,,,,,,,,,,
